nome	mail	web	tel	fax	ind	info
NONSOLOCOLTELLI di SPIGA EFISIO	efisio59@yahoo.it	www.makehandbuy.com	0039 329 7942563		Via Umberto I, 8809049 VILLASIMIUS (CA)Italia	Coltelli artigianali sportivi e artistici
UNICA by T.B.	conceriacloesrl@gmail.com		0039 347 6258910	0039 0571 485521	Via Fratelli Rosselli, 1356024 SAN MINIATO (PI)Italia	Produzione artigianale di borse, portafogli e accessori vari in pelle e pelli pregiate
PIONEER S.r.l.	info@pioneerhorseline.com	www.pioneerhorseline.com	0039 0833 911395	0039 0833 911395	Via Mercato Floricolo ZI73057 TAVIANO (LE)Italia	Selle, sottosella, briglie, stivali, stivaletti, mini chaps
FISEDA SARL	fiseda@wanadoo.fr		0033 475316262		2905 Route De Chateauneuf26210 SAINT SORLIN ( )FRANCIA	Stickers: fabbricazione, realizzazione adesivi tutti i disegni in catalogo, differenti formati, colori a scelta.
STRINGHETTO FABRIZIO S.r.l.	amministrazione@tuttafrutta.it	www.tuttafrutta.it	0039 0442 20833	0039 0442 626273	Via Lung'Adige Scrami 437045 LEGNAGO (VR)Italia	La Stringhetto Srl, situata a Legnago, in provincia di Verona,  è un'azienda specializzata nella produzione artigianale di confetture e creme al cioccolato. 30, sono gli anni di storia di questa impresa-famiglia, dove la determinazione e la saggezza del padre Fabrizio si unisce alla capacità di innovazione dei figli, in particolare di uno, Stefano, che dieci anni fa, da autodidatta, trasforma l’azienda, da semplice ditta commerciale, a centro produttivo d’eccellenza grazie a intuizioni convertite in prodotti di successo; tra questi troviamo Tuttafrutta, una linea di confetture composte solo da frutta, fruttosio e succo di limone senza aggiunta di pectina, saccarosio, conservanti o coloranti. L'altissima qualità delle materie prime, lavate e selezionate a mano, accanto ad un metodo di cottura a bassa temperatura e in assenza d’aria, fanno della nostra confettura un prodotto naturale capace di conservare inalterate tutte le caratteristiche della frutta: sapore, colore, contenuto di sali minerali e vitamine. Our company, located in Legnago (vr), is specialized in the production of jams and chocolate creams. 30, are the years of this family-business where the determination and the wisdom of the father, Fabrizio, joins the innovation capacity of children, in particular one, Stefano, who ten years ago, as a self-taught, transformed the company into a production center of excellence thanks to insights converted into successful products; Tuttafrutta is one of these: a line of jams (35 flavors) made with only fruit, fructose e lemon juice, without pectin or preservatives added.
TOMBINI ERCOLE S.n.c. di OSCAR E FIGLI	info@tombini.it	www.tombini.it	0039 035 663726	0039 035 669749	Piazza Conti Sottocasa24066 PEDRENGO (BG)Italia	Selleria Finimenti da carrozza e da calesse, abbeveratoi, tosatrici, abbigliamento equestre, selle per monta americana e inglese, recinzioni elettriche. Saddlery
NOVATECNO - GEPA CAR S.r.l.	info@novatecno.it	www.novatecno.it - www.boxcavalli.it	0039 049 5564455	0039 049 5565132	Via Pioga 3135011 CAMPODARSEGO (PD)Italia	Van cavalli - Trailers - Box cavalli - Stalle
ROYAL SPORTS	greenlaands88@gmail.com	www.royalsports88.com	0091 8960888858		123/818, Fazal Ganj208012 KANPUR, UTTAR PRADESH ( )INDIA	We are leading manufacture and exporter of equestrian leather goods under our brand ROYAL. We have wide range of Leather bridles, Halters, Girths, Breastplates, martingales, Boots, Stirrups etc and sell online through our web store www.royalsports88.com
ANDREA CARDONE S.r.l.	info@andreacardone.com	www.andreacardone.com	0039 081 5541847	0039 081 5537588	Via Antiniana,3080078 NAPOLI (NA)Italia	Pelletteria prodotti artigianali made in Italy; Borse da donna, borse da uomo, piccola pelletteria, articoli da viaggio e caschi da moto, tutto in pelle.
SPORT NAZIONALE - CENTRO NAZIONALE SPORTIVO FIAMMA	info@sportnazionale.it	www.sportnazionale.it	0039 041 2621679	0039 06 23328443	Via Rombiolo, 5000174 ROMA (RM)Italia	Ente di promozione sportiva
SAMPAOLI ANDREA CREAZIONI	info@sampaolicreazioni.it	www.sampaolicreazioni.it	0039 348 7630428		Via Bettone 2635037 TEOLO (PD)Italia	Oggettistica in bronzo a soggetto sportivo: portachiavi, collane, orecchini, cinture, tappi
D V TOWNEND &amp; CO	info@dvtownend.com	www.dvtownend.com	0044 1 287 623754 or 622478	0044 1 287 625004	8 &amp; 12 Dundas StreetTS12 1AH SALTBURN, NORTH YORKSHIRE ( )GRAN BRETAGNA	Una società Britannica, fondata nel 1982, che fornisce abbigliamento per 'discipline sportive all'aria aperta' da marchi come Magee, Chrysalis, Barbour, Aigle, Hunter Boots, Bonart, Hoggs of Fife e molto altro... A UK Company, established since 1982, that supplies clothing for 'outdoor sporting pursuits' from Brand Names such as Magee, Chrysalis, Barbour, Aigle, Hunter Boots, Bonart, Hoggs of Fife and more...
MACRIS S.n.c. - GEBO MOUNTAIN	macris.gebomountain@gmail.com		0039 335 6040725		Via 4 Novembre37060 NOGAROLE ROCCA (VR)Italia	Abbigliamento tecnico
SARDA IDEAL di PINTUS BASTIANO	info@sardaideal.com	www.sardaideal.com	0039 0784 76284		Via Amendola 208020 SARULE (NU)Italia	Calzature tradizionali su misura in vacchetta artigianalmente prodotte per uso equestre e caccia, pelletterie in genere, finimenti per cavalli tipici sardi stivali mod buttero ghette gambali
L.H.T. S.r.l.	info@lorenzinihorse.it	www.lorenzinihorse.it	0039 049 8840271	0039 049 8845477	Via Sandro Volta, 1035010 VILLAFRANCA PADOVANA (PD)Italia	Attrezzature per il cavallo e il cavaliere in titanio - Morsi, staffe e protezioni in titanio
MORANDO S.p.A.	morando@morando.it	www.morando.it	0039 011 9433311	0039 011 9434289	Via Chieri, 6110020 ANDEZENO (TO)Italia	Mangimi per cavalli Horse food
COQUELICOT	sebastien.chateau5@wanadoo.fr	www.equitationdiscount.fr	0033 611807280		Rue Des Garennes78550 HOUDAN ( )FRANCIA	Accessori per l'equitazione Horse-riding accessories
IL SIGNORE DEI COLTELLI	guido@ilsignoredeicoltelli.it	www.ilsignoredeicoltelli.it	0039 0171 383010 - 335 5446806	0039 0171 532233	Via Giorgio Giorgis 5512016 PEVERAGNO (CN)Italia	Coltelleria sportiva Sports knives
GIOVANNI TOZZI PELLETTERIA	tozzi@tozzigiovanni.com	www.tozzigiovanni.com	0039 055 8723596	0039 055 8721175	Via G. di Vittorio, 22/P50055 LASTRA A SIGNA (FI)Italia	Articoli in pelle di piccola pelletteria - Lavorazione artigianale toscana
SINICO ARNALDO	sinicoarnaldo@gmail.com		0039 340 5572786		Via Indentro, 537127 VERONA (VR)Italia	Sculture, oggettistica, bigiotteria, articoli in pelle e cuoio
SELLERIA SANDRI S.a.s. di VISENTINI MONICA &amp; C.	selleriasandri@gmail.com		0039 0547 84603	0039 0547 84189	Via San Pellegrino 106/D47042 CESENATICO (FC)Italia	Articoli di selleria ed abbigliamento per l'equitazione Saddlery - Clothing - Horse-riding accessories
CARTOLERIA GROSSI DI CAPPA G. &amp; C. S.n.c.	info@cartoleriagrossi.it	www.cartoleriagrossi.it	0039 0376 253491	0039 0376 251700	Via Del Bersagliere 2746031 BAGNOLO S.VITO (MN)Italia	Commercio all'ingrosso e al dettaglio di carta, cancelleria, giochi didattici, bruder, siku, rolly toys
AGRIZOO di MORETTI BRUNO &amp; C. S.a.s.	info@ilgruppomoretti.it	www.ilgruppomoretti.it	0039 0541 922546	0039 0541 926089	Loc. Ca' del Vento - Via Torricella, 33847863 NOVAFELTRIA (RN)Italia	Mangimi e fieni per cavalli, Attrezzature
LE SELLE ITALIANE S.r.l.	zeina@leselleitaliane.com	www.leselleitaliane.com	0039 030 9902246	0039 030 9902246	Via Ragazzi Del 99, 5d/E25067 LUMEZZANE (BS)Italia	Produttori selle monta western/trekking/endurance
PODIUM - EQUITEC INTERNATIONAL S.r.l.	info@sellepodium.com	www.sellepodium.com	0039 06 71353130	0039 06 71355285	Via Torre S. Anastasia, 8300134 ROMA (RM)Italia	Selle PODIUM ed accessori per Endurance ed Equitazione di Campagna
POLO SCHULE	mauroparretta@hotmail.com		0039 348 7627592		Bahnhofstr 2882547 BEURBERG ( )GERMANIA	Artigianato argentino, cuoio crudo, finimenti, sella tipiche argentine.
EQUALITY S.r.l.	info@equality-horse.com	www.equality-horse.com	0039 02 33500846	0039 02 3281335	Via IV Novembre 5420019 MILANO (MI)Italia	Commercio e vendita di integratori, prodotti farmaceutici veterinari e attrezzature per cavalli per l'Italia e l'estero Marketing and sales of supplements, veterinary products and equipment for horses for Italian and worldwide market
EBARRITO S.r.l.	alessandro.lamicela@ebarrito.com	www.ebarrito.com	0039 0397 66573		Villa Vallolta di Sopra26012 CASTELLEONE (CR)Italia	Pelletteria
NATURJEWEL	info@naturjewel.it	www.naturjewel.it - www.naturjewel.com	0039 0543 774386	0039 0543 774386	Via G. Siboni 6847122 FORLÌ (FC)Italia	Articoli moda e bigiotteria
MARTY'S	commerciale@martys.info	www.martys.info	0039 335 8065962	178 2728577	Via Fontana Mora, 2521018 MILANO (MI)Italia	Articoli Esclusivi per il tuo Cavallo
ROPE STARS	natasa.sitar2@siol.net		00386 41694587		Stobovska Cesta 141230 DOMŽALE ( )SLOVENIA	Cavezze - Accessori per l'equitazione - Attrezzature  Halters - Horse-riding accessories - Equipment
REITSPORT PETERSEN	info@reitsportpetersen.de	www.reitsportpetersen.de	0049 33635 204	0049 33635 248	Kirchweg 315518 ARENSDORF ( )GERMANIA	Reitbekleidung, Textile Reitsportartikel, Pferdedecken, Gebisse
CAVALLO MAGAZINE &amp; LO SPERONE	stefano.calzolari@monrif.net	www.cavallomagazine.it	0039 051 6006652	0039 051 6006657	Via Enrico Mattei, 10640138 BOLOGNA (BO)Italia	Riviste Cavallo Magazine & Lo Sperone - Gadget e oggetti promozionale Specialized press
FOUR S.r.l.	info@four-srl.com	www.horse4love.com	0039 348 0660939		Piazza Renato Simoni 337122 VERONA (VR)Italia	Accessori per l'equitazione Horse-riding accessories
PRESTIGE ITALIA S.p.A.	info@prestigeitaly.com	www.prestigeitaly.com	0039 0445 490300	0039 0445 491630	Via Stazione, 3836070 TRISSINO (VI)Italia	Selle ed accessori di alto livello per il cavallo
NEW-CLASS di BISONNI ADALBERTO	info@new-class.it	www.new-class.it	0039 0744 421376 - 349 7370432	0039 0744 421376	Via Flaminia 205100 TERNI (TR)Italia	Prodotti per la pulizia e la manutenzione del cuoio
BASSOLI FRATELLI S.a.s.	horsetools@bassoli.it	www.bassoli.it	0039 039 9910421	0039 039 507480	Via Pilata 4823887 OLGIATE MOLGORA (LC)Italia	Utensili per mascalcia
MAGNETIC AIR JUMP	info@magneticairjump.com	www.magneticairjump.com	0039 339 4176809		Loc. Osteria 3253058 SINALUNGA (SI)Italia	Magnetic Air Jump® è il primo ostacolo per sport equestri costituito da pilieri e barriere deformabili all'urto, con le barriere sostenute ai pilieri da supporti magnetici di superficie. Magnetic Air Jump® is the first obstacle for equestrian sports made of inflatable wings and barriers that deform after impact, where barriers are connected to wings thanks to magnetic components.
ITALFIOCCHI MONFORT S.r.l.	info@italfiocchi.com	www.italfiocchi.com	0039 0423 491113	0039 0423 722044	Via Mestre 1131033 CASTELFRANCO VENETO (TV)Italia	Mangimi - Integratori
RÖWER&R;ÜB GmbH	export@roewer-rueb.de	www.roewer-rueb.de	0049 4204 910400		Syker Str. 205-21327321 THEDINGHAUSEN ( )GERMANIA	Roewer & Rueb is the leading supplier for premium equestrian equipment. Based on its roots in 1867, Roewer & Rueb developed to the first choice for premium craftsmanship! Roewer&Rueb; produce stable equipment, horse walker, barns, boxes, jumps.
CENTRO DI RICERCA E DI FORMAZIONE PROFESSIONALE - OMNIA ONLUS	info@cerifop.it - info@omniaonlus.org	www.cerifop.it - www.omniaonlus.org	0039 091 8462502	0039 091 8462502	Via Roma 990034 CORLEONE (PA)Italia	Servizi turistici
NEW CLEAN S.r.l.	info@newclean.it	www.newclean.it	0039 045 7144544	0039 045 7144556	Via Europa 337050 SAN PIETRO DI MORUBIO (VR)Italia	Macchine ed impianti per la pulizia, vendita, noleggio, assistenza
SUBLIMART - SOLO NOVITÀ di FENOCCHIO BRUNO LUCA	info@solo-novita.it		0039 349 1915635		Via Campidori 7/a48018 FAENZA (RA)Italia	Stampa Gadget
EQUITENT	info@equitent.de	www.equitent.de	0049 60497000		Am Lautenstein63654 THEDINGHAUSEN ( )GERMANIA	Textile riding arenas, textile round arenas, VIP tents, stable tents
BUTET	info@butet.it	www.butet.it	0039 030 9912720		Viale Motta 14925015 LE MANS ( )FRANCIA	Selle Butet: selle per passione. Tradizione, innovazione continua nella ricerca del massimo comfort per il cavallo e l'assetto perfetto del cavaliere. Esistono 4 tipi di seggio per soddisfare tutte le esigenze. Gli accessori di eccezionale qualità completano il quadro. Butet saddles: saddles for passion. Traditions, innovation and technical research to obtain maximum comfort for the horse and perfect position for the rider. There are 4 tree to satisfy all exigencies. The picture is completed by exceptional quality accessories.
LA.SO.LE.EST S.r.l.	lasole@lasole.it	www.lasole.it	0039 0432 676420	0039 0432 676177	Via Peraria, 12/a33050 PERCOTO (UD)Italia	Trucioli in balle Shavings - Horse litter
PEER-SPAN GmbH	info@peer-span.de	www.peer-span.de	0049 4342 78930		Industriestr. 524211 THEDINGHAUSEN ( )GERMANIA	Wood shavings, bedding, wood pellets, wood granule
MOVE N SEE	stephane@movensee.com	www.movensee.com	0033 290 262 106		115 Rue Claude Chappe29280 LE MANS ( )FRANCIA	MOVE ‘N SEE has created the World’s First Robot Cameraman. Video debriefing allows sportsmen to improve much faster. But this means to have a cameraman at disposal. MOVE ’N SEE solve this problem: the sportsman wears an armband that transmits its position. The robot guides the camera 360° endless, zooms in and out automatically and starts recording when requested at distance by the sportsman. Already used by hundreds of riders and international coaches, the robot is a cameraman AND a GPS. MOVE ‘N SEE is the most powerful debriefing tool combining video with GPS tracks.
SUEDDEUTSCHE PFERDEZUCHTVERBAENDE VERMARKTUNGS GmbH	info@suedpferde.de	www.suedpferde.de	0049 9823 9242588	0049 9823 9242589	Gewerbepark Wiedersbach 10-1291578 MUENCHEN ( )GERMANIA	Cavalli Horses
HANNOVERANER VERBAND	hannoveraner@hannoveraner.com	www.hannoveraner.com	0049 4231 6730		Lindhooper Str. 9227283 THEDINGHAUSEN ( )GERMANIA	Per l'Italia contattare: Birgit Schroeppel +39 0744 943848 Hores Allevamento Associazione, Horse Attività Hores Breeding Association, Horse Activities
AL DUCA D'AOSTA S.p.A.	info@alducadaosta.com	www.alducadaosta.com	0039 041 2620111	0039 041 2620100	San Marco, 494530124 MESTRE - VENEZIA (VE)Italia	Abbigliamento e accessori dei marchi più prestigiosi italiani e internazionali
TRAFLEX S.r.l.	traflex@traflex.it - pierluigi.chierichetti@traflex.it	www.traflex.it	0039 0332 945375	0039 0332 945290	Via Walter Marcobi, 3121020 CASALE LITTA (VA)Italia	Steccati per: maneggio, campi ostacoli, ippodromi, paddocks e allevamenti, tondini, inviti ostacoli, paracolpi, percorsi cross e dressage - Recinzioni civili
DA FRANZISKA SPECIALITA' DELL'ALTO ADIGE	contact@franziska-sas.it	www.franziska-sas.it	0039 335 392945	0039 0472 760512	Via Flains39049 VAL DI VIZZE (BZ)Italia	Gastronomia per eventi
MULTIMAGE S.r.l.	info@multimage.biz	www.multimage.biz	0039 0331 219900	0039 0331 218435	Via dell'Industria, 5421044 CAVARIA (VA)Italia	Apparecchiature radiologiche  ed elettromedicali - Radiologia digitale - Apparecchiature ecografiche - Sistemi di diagnostica per immagini - Tavoli operatori ribaltabili - Raspe dentali elettriche - Apparecchi di terapia - Endoscopi rigidi e flessibili Veterinary radiological equipment - Electric medical equipment - Veterinary equipment - Digital radiology - Therapeutic equipment - Operating tables - Clippers - Treadmills
PARIANI DI MUTINELLI A. &amp; C. S.n.c.	pariani@pariani.it	www.pariani.it	0039 02 40091504	0039 02 48702932	Via Capecelatro 1420148 MILANO (MI)Italia	Fondata a Milano nel 1903 la Selleria Pariani produce nei suoi laboratori selle ed accessori raffinatissimi. L'alta qualità dei materiali impiegati e la manifattura prettamente artigianale sono conosciuti ed apprezzati in tutto il mondo, ed una sella realizzata completamente a mano è qualcosa di veramente speciale, unico ed esclusivo. Collaborando sin dagli albori con Caprilli, la Selleria Pariani è la prima al mondo a realizzare un arcione flessibile ed a rivoluzionare l'assetto della sella. (1982 - Saddlery and Horse Equipment - Jennifer Baker). Founded in 1903, Pariani manufactures the finest saddles and harnesses. The skilled craftsmanship and the high quality of raw materials are world-renowned. A custom-made saddle, completely hand-made is something special, and unique. Working in collaboration with Caprilli from the very beginning, Pariani is the first in the world to create a new type of saddle with spring tree and different rider position. (1982 - Saddlery and Horse Equipment - Jennifer Baker).
ASD E CULTURALE GRUPPO ITALIANO ECOLE DE LEGERETE	francomelpignano@libero.it - gruppoitalianoedl@gmail.com		0039 338 9955823		Strada Consorziale Santa Maria 1224045 FARA GERA D'ADDA (BG)Italia	Associazioni sportive/allevatoriali Sport/breeding associations
FOR HORSES S.r.l.	info@forhorses.it	www.forhorses.it	0039 0445 581242	0039 0445 588785	Via Ca' Bosco, 2736035 MARANO VICENTINO (VI)Italia	Abbigliamento ed accessori equitazione e tempo libero
ALOHA di Belloni Alberto S.n.c.	alberto@alohabeach.it	www.alohabeach.it - www.slowpark.it	0039 347 5908100	0039 0544 446142	Viale Italia 11748123 MARINA ROMEA (RA)Italia	Ristorazione - Spiaggia - Aperitivi - Eventi Sportivi - Escursioni A Cavallo sulla Spiaggia Catering - Beach - Appetizers - Sporting Events - Excursions A Horse on the Beach
PEGUS - ISOLA VERDE S.r.l.	omer.maurizzi@isolaverde-pegus.it	www.isolaverde-pegus.it	0039 051 790082	0039 051 790587	Via Palazzetti, 5/e40068 SAN LAZZARO DI SAVENA (BO)Italia	Alimenti, lettiere e prodotti per la cura ed igiene del cavallo
ASSOCIAZIONE NAZIONALE ARMA DI CAVALLERIA	asscavalleria@libero.it	www.assocavalleria.eu	0039 06 36001797	0039 06 36001797	Via Damiata 500192 ROMA (RM)Italia	L'ANAC è un'associazione istituzionale, riconosciuta dal Ministero della Difesa, apolitica e senza fini di lucro alla quale possono appartenere sia coloro che prestano o hanno prestato servizio nell'Arma di Cavalleria e nelle sue specialità, sia coloro che si sentono ad essa legati da sentimenti di attaccamento e simpatia.
SALOON ESPERIA	info@hotelesperialazise.it	www.hotelesperialazise.it	0039 045 6470555	0039 045 6470566	Via Dante 1537017 LAZISE (VR)Italia	Prodotti Regionali Regional Products
UNIC	info@chevalunic.fr	www.chevalunic.fr	0033 243405340	0033 243723853	75 Bld Marie et Alexandre Oyon72100 LE MANS ( )FRANCIA	France is the only country in the world which has a national association for the horse' sector promotion. Thanks to its skills and international experience of 60 years, UNIC can grant your various request. UNIC is a tool designed to help foreign visitors in their horse research as well as in their products and know-how needs. We propose advices and help about the coordination of commercial and institutional exchanges between French and foreign people. And aim at optimizing international visitors' visits by offering them guarantees and helping them to determine their needs.
MICHAEL SADDLE TREE di DI CERBO GIUSEPPE	dicerbo.giuseppe563@tiscali.it	www.michaelsaddletree.it	0039 0824 970505	0039 0178 2233630	Via Cavarena 6282031 AMOROSI (BN)Italia	Finimenti - Stinchiere - Staffe - Sottofasce - Sottoselle - Selleria Harness - Cannon-guards - Stirrups - Undergirths - Pads - Saddlery
TIBERINA CARNI S.n.c. di MASTRINI GIANCARLO &amp; C.	tiberinacarni@tiscali.it	www.tiberinacarni.it	0039 075 888281	0039 075 8950091	Voc. Pontaccio, 15006059 PANTALLA DI TODI (PG)Italia	Commercio al minuto e all'ingrosso di carni, salumi e generei alimentari, prosciutti, porchetta, insaccatidi ogni generi e somministrazione di alimenti e bevande
C.A.P.E. di Pini Paolo	info@capedipini.com	www.capedipini.com	0039 339 6029901	0039 0521 878732	Via Ponticella  1443010 TRECASALI (PR)Italia	Costruzione articoli per equitazione,ostacoli da lavoro e da concorso. Carrelli porta ostacoli, carri porta barriere, erpici livellatori e accessori vari.
CAVALLI DI RAZZA DELTA ED ENOGASTRONOMIA FERRARESE IL TRIDENTE	info@iltridente.net	www.iltridente.net	0039 339 4991791	0039 0532 412299	Via Pontisette 35/A44124 FERRARA (FE)Italia	Cavalli di razza Delta - Enogastronomia Ferrarese - Maneggio - Allevamento
NUOVO MOLINO DI ASSISI - GRIGI CEREALI	gruppogrigi@grigi.it	www.grigi.it	0039 075 8011560	0039 075 8011044	Via E. Mattei 3806083 BASTIA UMBRA (PG)Italia	Mangimi, foraggi, lettiere
RISO SCOTTI INGREDIENTS	info@risoscottiingredients.it	www.risoscottiingredients.it	0039 0382 508306	0039 0382 577265	Via Angelo Scotti 227100 PAVIA (PV)Italia	RISOSPRINT - Mangimi Fodder
PASTICCERIA PRIMAVERA di MOSCHERA DEMETRIO &amp; FIGLI S.n.c.	marcomoschera@gmail.com	www.pasticceriaprimaverajinko.com	0039 348 3854883	0039 059 344101	Via Allegri, 641100 MODENA (MO)Italia	Pasticceria siciliana dolce e salata.
MMhorses A.S.D.	mmhorsespistoia@gmail.com	www.horseride.eu	0039 340 2302298		Via della Valle51100 BOLOGNA (BO)Italia	Scuola di formazione federale, trekking, passeggiate, eventi sportivi
STEFANO ZECCHIN	stefanozecchin@yahoo.it	www.westerntrail.it	0039 348 8203981		Via Gomiero 28/c35016 PIAZZOLA SUL BRENTA (PD)Italia	Abbigliamento country e accessori casa
BIRRIFICIO DEI PERUGINI di PERUGINI ANDRE &amp; C.	info@birrificiodeiperugini.com	www.birrificiodeiperugini.com	0039 328 6019522		Zona Artigianale Pietrauta 8806036 MONTEFALCO (PG)Italia	Produzione e vendita di birra cruda artigianale
JICA VIRGIL	equitazione@jica.it	www.jica.it	0039 02 90687400	0039 02 90687400	Via Amedeo D'Aosta 2520060 VIGLIANO DI MEDIGLIA (MI)Italia	Coperte - Calzature - Briglie - Stivali - Protezioni per gli arti dei cavalli - Pantaloni da equitazione - Abbigliamento Blankets - Shoes - Bridles - Boots - Leg binders - Cleaning and beauty products for horses - Jodhpurs - Clothing
NON SOLO PASTA FRESCA di GIADA VENTURINI	commerciale@pastamoreumbria.com	www.pastamoreumbria.com	0039 331 7241201		Via Popoli, 1406039 MONTEFALCO (PG)Italia	Produzione di pasta secca e fresca aromatizzata, trafilata in bronzo rispettando le vecchie tradizioni culinarie. Tra le nostra specialità regionali ci sono: strangozzi al sedano nero di Trevi, strangozzi al tartufo, strangozzi al Sagrantino
CINTURIFICIO MARTINETTI &amp; C. S.n.c.	info@cinturificiomartinetti.com	www.cinturificiomartinetti.com	0039 0125 811363	0039 0125 811363	Via Nazionale, 1110010 CAREMA (TO)Italia	Cinture artigianali in cuoio totalmente Made in Italy - Cinture vintage cucite a mano
IL TARTUFO DI PAOLO di MENICHINI GIAMPAOLO	info@iltartufodipaolo.com	www.iltartufodipaolo.com	0039 0742 303045		Via Fonte Citerna, 1406038 MONTEFALCO (PG)Italia	Da sempre il nostro obiettivo è portare sulla vostra tavola prodotti che sono in grado di raccontare la storia di una terra straordinaria: l’Umbria e le sue tradizioni fondate sull’ottima gastronomia che la distingue. È per questo che vi offriamo i migliori tartufi bianchi e neri, freschi e conservati e un’ampia gamma di specialità gastronomiche a base di tartufo: tutti prodotti caratterizzati dalla freschezza e dalla qualità garantite personalmente da Giampaolo Menichini, in grado di farvi assaporare in ogni momento dell’anno tutte le raffinate sfumature di questi pregiati frutti della terra. Products which can tell you the story of an extraordinary land, such as Umbria, with its secular traditions based on the excellent gastronomy which distinguish it. For this reason we offer you the best fresh and conserved, white and black truffles and a wide range of truffle based gastronomic specialties: all this products are characterized by high quality and freshness personally guaranteed by Giampaolo Menichini who in every moment of the year is able to make you taste the fine nuances of these precious fruits of the ground.
EQUIFASHION HORSEWEAR by CONFEZIONI FILIPPI S.r.l.	ricamissimo@libero.it - info@equifashion.it		0039 06 65024059 - 329 4383182	0039 06 65024059	Via Redipuglia, 2/c00054 FIUMINCINO (RM)Italia	Sottosella coperta cavallo e abbigliamento personalizzato
BERTON RIMORCHI - GIORGIO BERTON S.r.l.	info@giorgioberton.it	www.bertonrimorchi.it	0039 0438 24238	0039 0438 32935	Viale Italia, 17131015 CONEGLIANO (TV)Italia	Ganci da traino - Trailers Hitches - Trailers
TENUTA TORRE BURCHIO - SARV S.r.l.	info@torreburchio.com	www.casalcerqueto.com - www.torreburchio.com	0039 075 8707137		Viale Somalia, 14800189 MONTEFALCO (PG)Italia	Immersa nel cuore della verde Umbria sorge la Tenuta Torre Burchio, riserva naturale che si estende per 600 ettari in zona collinare, dai 300 ai 500 metri di altitudine, ricca di vegetazione mediterranea e uliveti dove vivono in libertà molte specie di animali. La Tenuta Torre burchio offre una vacanza all’insegna del relax, della natura, dello sport, della cultura e della storia la sua posizione centrale è ideale per visitare le meravigliose cittadine d’arte umbre. l’Allevamento all’interno della tenuta nasce con il marchio Sarv e comprende la stazione di monta equina autorizzata per fecondazioni in seme fresco e congelato, centro produzione seme, embriotransfert, centro addestramento e doma puledri. Le scuderie sono costituite da 40 box, parte in muratura parte in legno, una selleria, un maneggio 30 x 40, due tondini, una giostra e diversi paddock. Si offre inoltre servizio di maneggio con possibilità di passeggiate nella tenuta, lezioni per principianti adulti e bambini, affitto dei box giornalieri o possibilità di pensione per cavalli scuderizzati, fattrici, puledri o cavalli a riposo sia a pascolo che in box. All’interno della Tenuta, a 4 km l’una dall’altra, si trovano due tipiche Country House, TORRE BURCHIO e CASAL CERQUETO che accolgono  in totale fino a 100 persone. Entrambe le Country House sono dotate di ristorante con cucina tradizionale e prodotti tipici, piscina, spazi giochi per bambini, sala convegni, e spazi adiacenti alle strutture per corsi di formazione outdoor e orienteering. Altri servizi presenti nella tenuta: Centro Benessere, Laghetto pesca sportiva, Campo da tennis e calcetto, Mountain bikes, Aree wi-fi gratuite, Escursioni paesaggistiche in jeep e quad, Corsi di cucina e degustazioni enogastronomiche, Organizzazione banchetti per cerimonie ed eventi. Per info www.torreburchio.com -  www.casalcerqueto.com
TIBURZI CANTINE IN MONTEFALCO	info@tiburzicantine.com	www.tiburzicantine.it	0039 0742 379203	0039 0742 377986	Loc. Montepennino, 6306036 MONTEFALCO (PG)Italia	L’azienda Agricola del Cav. Gustavo Tiburzi è situata a Montefalco, a tre chilometri dal centro storico, in una posizione strategica di passaggio per il turismo enogastronomico umbro. I vigneti situati a circa 450 m s.l.m. ricoprono una superficie che nel 2004 ha raggiunto un estensione di 8,00 ettari circa. Hanno tutti una densità d’impianto superiore alle 6.000 viti per ettaro e sono dislocati nel territorio della Doc in modo omogeneo, per cogliere tutti i possibili climi e tutte le infinite sfumature di queste terre incredibili. Le varietà impiantate sono tutte a bacca rossa.  The Gustavo Tiburzi winery (farm) is situated in Montefalco, just three kilometres away from the town center in a strategic location for the food and wine  tourism in Umbria. The vineyards are situated at about 450 m on sea level and since 2004 they have covered a surface of about 8,00 ha. Their planting density has  over 6.000 vines per hectar and they are placed in a harmonious way in the Doc area, in order to catch all the feaseble climates and  the countless shades of these amazing lands. All the varieties we emplant are red-barry.
S.I.T.T.A. S.r.l.	sitta@sittasrl.com	www.sittasrl.com	0039 0432 756883(3 linee r.a.)	0039 0432 757462	Via Cascina Rinaldi, 3733048 S.GIOVANNI AL NATISONE (UD)Italia	"Trucioli di legno imballati: ""Hypposan"", ""Hyppospan"", ""H.B."", ""Hyppobox"" Wood Shavings - Horse litter ""Hypposan"", ""Hyppospan"", ""H.B."", ""Hyppobox"""
MASO DELLO SPECK S.r.l. SOCIETA' AGRICOLA	info@titospeck.it	www.titospeck.it	0039 0462 342244	0039 0462 239644	Loc. Pozze Di Sopra 238030 DAIANO (TN)Italia	Ristorazione, salumeria e prodotti tipici del territorio
POLI ROBERTO	robi.poli@tiscali.it	www.gravotech.it	0039 045 8731410	0039 045 8731410	Via A. Personi, 637057 RALDON DI S. GIOVANNI LUPATOTO (VR)Italia	Targhette identificative per animali, oggetti vari con figure equestri
